kind,release_index,id,title,version,component_pages,master_page_start,master_page_end,pdf,pdf_sha256
front_matter,,p12-release-front-matter-v1-3,P12 release front matter,1.3.0,8,1,8,work/p12_corpus_master_v1_3/build/frontmatter/geometry_of_observation_corpus_master_frontmatter_v1_3.pdf,930d9dcf750ae991f6aef7158202c26d6a8dcd0292f27ad9eb28bca71e2e2635
normative_module,1,functional-interface-go-qs-v0-2,Functional Interface GO-QS,0.2.0,12,9,20,output/pdf/Functional_Interface_GO_QS_v0_2_ru.pdf,57bf764c905cc1405b971fd6c59f9086c2b3b50842582141dc1099747f26de73
normative_module,2,tensorial-observation-geometry-gr-v0-3,Tensorial Observation Geometry in GR,0.3.0,11,21,31,output/pdf/Tensorial_Observation_Geometry_GR_v0_3.pdf,d7d88a2ddc40531f8e60fe3d33fe7c56c6262e5ef286b2c60227229cc7d2cd6f
normative_module,3,information-theoretic-observation-v0-2,Information-Theoretic Observation Geometry,0.2.0,9,32,40,work/p1_info_metric_v0_2/build/information/information_theoretic_observation_geometry_v0_2.pdf,5a64daee29f75c8951f9fb1e2ff263fea27f3ab2128144abf8c64284eabf8a92
normative_module,4,metric-entropy-defect-v0-2,Metric Entropy and Observational Entropy Defect,0.2.0,10,41,50,work/p1_info_metric_v0_2/build/metric/metric_entropy_observational_defect_v0_2.pdf,615670a93610ce5a4911fa2d2e30c1e06f1faec900d614d21492e36a664b1257
normative_module,5,distance-scale-interface-v0-2,Distance and Scale Interface under Observation Maps,0.2.0,9,51,59,work/p2_distance_scale_v0_3/build/distance/distance_scale_interface_observation_maps_v0_2.pdf,11b99c7e9e0eddb038796e2982f42d9a48111eb883e7ea228ecd41a35268f71f
normative_module,6,planck-cosmos-rulers-v1-1,Planck-to-Cosmos Observation Rulers,1.1.0,12,60,71,work/p3_planck_cosmos_v0_4/build/planck/planck_cosmos_observation_rulers_v1_1.pdf,ded3c6b041e8dbadef53edf67e2f4ae3475f0d1914a045f0cec39cd2c44ff9a5
normative_module,7,mandelbrot-rulers-v1-1,Mandelbrot Rulers as Observation-Scale Geometry,1.1.0,11,72,82,work/p2_distance_scale_v0_3/build/mandelbrot/mandelbrot_rulers_observation_scale_v1_1.pdf,0a3b02c620c681b07bc279944e4fd2082b6ab8a088ee8f9dd377d2994cb6868f
normative_module,8,regular-polyhedra-observation-v1-1,Regular Polyhedra under Typed Observation Filters,1.1.0,7,83,89,work/p10_regular_polyhedra_v1_1/build/polyhedra/regular_polyhedra_observation_filters_v1_1.pdf,9193ad45b5dbbb2fac52392d383eb8878e937eacf817fd686b5f895ae0af1b0d
normative_module,9,frames-forces-dissipation-interface-v0-1,"Frames, Forces, Constraints, and Dissipation under Observation Maps",0.1.0,7,90,96,work/p5_mechanics_frames_v0_6/build/interface/frame_force_dissipation_interface_v0_1.pdf,0af4c0b49aba775e28cac7644c9d5e17dd17982801cb0843e7ed56cfbb5e093f
normative_module,10,celestial-foucault-networks-v1-1,Foucault Networks on Celestial Bodies,1.1.0,6,97,102,work/p5_mechanics_frames_v0_6/build/foucault/celestial_foucault_networks_v1_1.pdf,f33ce208083ae1e465d8663848832350d586d8f432052ad888213306095d5533
normative_module,11,billiards-observation-v1-1,Billiards as a Typed Geometry of Observation Laboratory,1.1.0,9,103,111,work/p7_billiards_v0_8/build/billiards/billiards_observation_laboratory_v1_1.pdf,162775907ff1be26f95cacda82277e6a16ab340bd1a38198d38d451c1d0852e8
normative_module,12,bobsleigh-contact-v1-1,Bobsleigh Contact Geometry as a Typed Observation System,1.1.0,6,112,117,work/p5_mechanics_frames_v0_6/build/bobsleigh/bobsleigh_contact_geometry_v1_1.pdf,0bdd9cee21df204844d53c36d6936737a4037345576f71dfea77819260cd62b6
normative_module,13,roller-coaster-v1-1,Roller-Coaster Geometry as a Typed Observation Laboratory,1.1.0,6,118,123,work/p5_mechanics_frames_v0_6/build/roller/roller_coaster_geometry_v1_1.pdf,f8dbd226870dbbf020d2bd35fce2fb1f1185d273037951d869e4cafe0612edc2
normative_module,14,gear-contact-v1-1,Gear Contact Geometry as a Typed Finite Observation System,1.1.0,9,124,132,work/p6_gear_contact_v0_7/build/gear/gear_contact_geometry_v1_1.pdf,6455a0f05ffaa36ba866f1db86dbc8fcccc6388eeb56ff2493a36c3d0d7497f7
normative_module,15,conical-intersections-observation-v1-1,Conical Intersections as Typed Spectral Singularities under Observation Maps,1.1.0,8,133,140,work/p8_conical_intersections_v0_9/build/ci/conical_intersections_spectral_observation_v1_1.pdf,48507a398983388159a1a4b1bd5cf25abdba231b836a7702d960eeb5778af4dd
normative_module,16,quantum-chemistry-observation-v1-1,Quantum Chemistry as a Typed Inference Stack under Observation Maps,1.1.0,9,141,149,work/p9_quantum_chemistry_v1_0/build/qchem/quantum_chemistry_observation_geometry_v1_1.pdf,f3b1056f215cebeca914b3c1d3589e18b3764f518a5daac580a487541a9dae8a
normative_module,17,lhc-beam-observation-v1-3,Relativistic Beam Paths as Observation Geometry,1.3.0,9,150,158,work/p4_lhc_si_hep_v0_5/build/lhc/lhc_beam_observation_geometry_v1_3.pdf,5abbae43db274df13dddf2529a174b692dd6bb73717287b559d4d901cd911494
normative_module,18,satellite-networks-observation-v1-2,Satellite Networks under Typed Frames and Temporal Observation Channels,1.2.0,8,159,166,work/p11_satellite_networks_v1_2/build/satellite/satellite_networks_typed_frames_v1_2.pdf,0d4cc766732a2c81c09de053a548a305344c7409797ef6832effa41799a49c2c
