id,axis,value_si,unit_si,planck_log10_coordinate,role,status,convention,source
planck_length,length,1.616255e-35,m,0.0,normalization_anchor,CODATA_recommended,invariant_constant,NIST_CODATA_2022_planck_length
high_energy_probe_order,length,1e-18,m,16.79149011858855,illustrative_landmark,order_of_magnitude_marker,effective_resolution_scale,declared_order_marker
atomic_order,length,1e-10,m,24.79149011858855,illustrative_landmark,order_of_magnitude_marker,characteristic_size,declared_order_marker
human_length_reference,length,1.0,m,34.79149011858855,conventional_reference,declared_not_population_estimate,characteristic_size,declared_reference
earth_diameter,length,12742000.0,m,41.89672771933457,illustrative_landmark,rounded_mean_diameter,planetary_mean_diameter,standard_astronomical_landmark
astronomical_unit,length,149597870700.0,m,45.96641553063423,conventional_reference,exact_IAU_definition,astronomical_unit,IAU_2012
light_year,length,9460730472580800.0,m,50.767414788601705,conventional_reference,exact_given_Julian_year,light_travel_length,BIPM_SI_9
observable_particle_horizon_diameter,length,8.798479339500144e+26,m,61.73589773715564,cosmological_landmark,rounded_model_dependent,present_comoving_particle_horizon_diameter,legacy_93_Gly_particle_horizon_convention
electron_mass,mass,9.1093837139e-31,kg,-22.37825650557006,empirical_landmark,CODATA_recommended,invariant_rest_mass,NIST_CODATA_2022
proton_mass,mass,1.67262192595e-27,kg,-19.11434771624959,empirical_landmark,CODATA_recommended,invariant_rest_mass,NIST_CODATA_2022
planck_mass,mass,2.176434e-08,kg,0.0,normalization_anchor,CODATA_recommended,invariant_constant,NIST_CODATA_2022_planck_mass
human_mass_reference,mass,70.0,kg,9.507352538229274,conventional_reference,declared_not_population_estimate,rest_mass,declared_reference
earth_mass,mass,5.9722e+24,kg,32.43838884138086,illustrative_landmark,rounded_astronomical_value,gravitational_mass_parameter_interpreted_as_mass,standard_astronomical_landmark
solar_mass,mass,1.98847e+30,kg,37.96077354139584,illustrative_landmark,rounded_astronomical_value,solar_mass,standard_astronomical_landmark
cosmic_baryonic_mass_equivalent,mass,1.5002470148476825e+53,kg,60.838417269506195,cosmological_landmark,model_dependent_illustrative,baryonic_mass_equivalent_in_flat_comoving_volume,Planck2018_flat_base_LambdaCDM_landmark
cosmic_matter_mass_equivalent,mass,9.585756788580527e+53,kg,61.643880904018566,cosmological_landmark,model_dependent_illustrative,total_matter_mass_equivalent_in_flat_comoving_volume,Planck2018_flat_base_LambdaCDM_landmark
cosmic_total_energy_mass_equivalent,mass,3.0430973932001673e+54,kg,62.145570350228965,cosmological_landmark,model_dependent_illustrative,total_energy_mass_equivalent_in_flat_comoving_volume,Planck2018_flat_base_LambdaCDM_landmark
planck_time,time,5.391247e-44,s,0.0,normalization_anchor,CODATA_recommended,invariant_constant,NIST_CODATA_2022_planck_time
particle_process_order,time,1e-24,s,19.26831077051236,illustrative_landmark,order_of_magnitude_marker,characteristic_duration,declared_order_marker
femtosecond,time,1e-15,s,28.26831077051236,conventional_reference,SI_prefix_exact,coordinate_duration,BIPM_SI_9
second,time,1.0,s,43.26831077051236,conventional_reference,SI_base_unit,coordinate_duration,BIPM_SI_9
day,time,86400.0,s,48.20482451299125,conventional_reference,conventional_exact_duration,duration,BIPM_SI_9
Julian_year,time,31557600.0,s,50.76741473759759,conventional_reference,conventional_exact_duration,duration,IAU_convention
universe_age,time,4.354002072e+17,s,60.90719940189129,cosmological_landmark,model_inferred_parameter,FLRW_cosmic_proper_time_since_big_bang,Planck_2018_overview
